unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ESAR,ETH,Ethiopia,DTP3,72,65,65,71,68,67,68,66,63,61,59,62,65,61,58,54,50,46,44,40,37,35,32,30
EAPR,FJI,Fiji,DTP3,99,99,99,99,97,94,91,95,99,99,99,99,99,99,99,99,99,98,96,95,94,93,91,90
Non-programme,FIN,Finland,DTP3,91,91,89,90,91,91,89,92,97,98,98,99,99,99,99,99,99,97,97,98,98,98,98,99
Non-programme,FRA,France,DTP3,96,96,96,96,96,96,96,96,97,98,99,99,99,99,98,99,99,99,98,98,97,97,97,97
WCAR,GAB,Gabon,DTP3,70,60,75,63,70,70,75,75,80,70,79,82,75,67,76,82,81,45,45,45,45,45,45,45
WCAR,GMB,Gambia,DTP3,84,79,82,85,88,93,92,95,97,96,97,98,96,97,98,96,95,95,95,87,87,87,87,80
ECAR,GEO,Georgia,DTP3,88,85,85,88,94,93,91,92,94,91,93,92,94,92,88,92,98,88,82,78,75,84,87,80
Non-programme,DEU,Germany,DTP3,91,91,91,91,91,91,91,91,93,93,93,95,95,96,96,96,96,96,96,96,97,93,93,90
WCAR,GHA,Ghana,DTP3,95,99,98,94,97,97,99,93,88,98,90,92,91,94,94,93,94,84,84,80,80,78,79,88
ECAR,GRC,Greece,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,96,95,94,92,91,89
LACR,GRD,Grenada,DTP3,86,77,77,72,94,95,96,96,92,97,97,97,95,97,99,99,96,91,99,83,97,98,96,97
LACR,GTM,Guatemala,DTP3,83,81,80,90,88,85,91,83,70,74,96,96,88,94,92,95,85,89,87,87,84,82,77,81
WCAR,GIN,Guinea,DTP3,47,47,47,47,47,47,47,47,47,44,50,57,63,64,57,60,63,57,59,60,57,53,50,46
WCAR,GNB,Guinea-Bissau,DTP3,74,74,67,74,78,82,79,85,86,86,87,87,86,83,80,77,74,71,68,64,60,57,53,49
LACR,GUY,Guyana,DTP3,98,98,98,99,99,95,97,97,95,98,98,97,93,95,98,93,94,93,93,91,90,91,85,88
LACR,HTI,Haiti,DTP3,51,51,51,51,51,64,64,64,64,63,65,66,68,67,65,64,64,62,60,57,53,50,46,43
LACR,HND,Honduras,DTP3,73,78,77,80,88,91,90,95,98,99,99,98,97,97,97,93,94,95,98,94,92,95,96,94
Non-programme,HUN,Hungary,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
